# LST, Quality Flags, Datetime
# 2009
-8000,44,200906010000
-8000,60,200906010015
-8000,60,200906010030
-8000,60,200906010045
-8000,60,200906010100
-8000,60,200906010115
-8000,12,200906010130
-8000,44,200906010145
-8000,44,200906010200
-8000,44,200906010215
-8000,60,200906010230
-8000,60,200906010245
-8000,60,200906010300
-8000,60,200906010315
-8000,60,200906010330
-8000,60,200906010345
-8000,60,200906010400
-8000,60,200906010415
-8000,60,200906010430
-8000,60,200906010445
-8000,60,200906010500
-8000,60,200906010515
-8000,60,200906010530
-8000,60,200906010545
-8000,60,200906010600
-8000,60,200906010615
-8000,60,200906010630
-8000,60,200906010645
-8000,60,200906010700
-8000,60,200906010715
-8000,60,200906010730
-8000,60,200906010745
-8000,60,200906010800
-8000,60,200906010815
-8000,60,200906010830
-8000,60,200906010845
-8000,60,200906010900
-8000,60,200906010915
-8000,60,200906010930
-8000,44,200906010945
-8000,60,200906011000
-8000,60,200906011015
-8000,60,200906011030
-8000,60,200906011045
-8000,60,200906011100
-8000,60,200906011115
-8000,12,200906011130
-8000,60,200906011145
-8000,60,200906011200
-8000,60,200906011215
-8000,60,200906011230
-8000,60,200906011245
-8000,60,200906011300
-8000,60,200906011315
-8000,60,200906011330
-8000,60,200906011345
-8000,60,200906011400
-8000,60,200906011415
-8000,60,200906011430
-8000,60,200906011445
-8000,60,200906011500
-8000,60,200906011515
-9999,-9999,200906011530
-9999,-9999,200906011545
-8000,60,200906011600
-8000,60,200906011615
-8000,60,200906011630
-8000,60,200906011645
-8000,60,200906011700
-8000,60,200906011715
-8000,60,200906011730
-8000,60,200906011745
-8000,60,200906011800
-8000,60,200906011815
-8000,60,200906011830
-8000,60,200906011845
-8000,60,200906011900
-8000,60,200906011915
-8000,60,200906011930
-8000,60,200906011945
1424,10014,200906012000
1663,10014,200906012015
1558,10014,200906012030
1386,10014,200906012045
1366,10014,200906012100
1241,10014,200906012115
975,10014,200906012130
1425,10014,200906012145
1411,10014,200906012200
1626,10014,200906012215
-8000,60,200906012230
1146,10014,200906012245
-8000,60,200906012300
-8000,60,200906012315
-8000,60,200906012330
-8000,60,200906012345
-8000,60,200906020000
-8000,60,200906020015
-8000,60,200906020030
-8000,44,200906020045
-8000,60,200906020100
-8000,60,200906020115
-8000,60,200906020130
-8000,60,200906020145
-8000,60,200906020200
-8000,60,200906020215
-8000,44,200906020230
-8000,44,200906020245
-8000,60,200906020300
-8000,60,200906020315
-8000,60,200906020330
-8000,60,200906020345
-8000,60,200906020400
-8000,60,200906020415
-8000,60,200906020430
-8000,60,200906020445
-8000,60,200906020500
-8000,60,200906020515
-8000,60,200906020530
-8000,60,200906020545
-8000,60,200906020600
-8000,60,200906020615
-8000,60,200906020630
-8000,60,200906020645
-8000,60,200906020700
-8000,60,200906020715
-8000,60,200906020730
-8000,60,200906020745
-8000,60,200906020800
-8000,60,200906020815
-8000,60,200906020830
-8000,60,200906020845
-8000,60,200906020900
-8000,60,200906020915
-8000,60,200906020930
-8000,60,200906020945
-8000,60,200906021000
-8000,60,200906021015
-8000,60,200906021030
-8000,60,200906021045
-8000,60,200906021100
-8000,60,200906021115
-8000,60,200906021130
-8000,60,200906021145
-8000,60,200906021200
-8000,60,200906021215
-8000,60,200906021230
-8000,60,200906021245
-8000,60,200906021300
-8000,60,200906021315
-8000,60,200906021330
-8000,60,200906021345
-8000,60,200906021400
-8000,44,200906021415
-8000,44,200906021430
-9999,-9999,200906021445
-8000,44,200906021500
-8000,60,200906021515
-8000,60,200906021530
-8000,44,200906021545
-8000,60,200906021600
-8000,44,200906021615
-8000,44,200906021630
-8000,44,200906021645
-8000,44,200906021700
-8000,60,200906021715
-8000,60,200906021730
-8000,60,200906021745
-8000,60,200906021800
-8000,60,200906021815
-8000,60,200906021830
-8000,60,200906021845
-8000,60,200906021900
-8000,60,200906021915
-8000,60,200906021930
-8000,60,200906021945
-8000,60,200906022000
-8000,60,200906022015
-8000,60,200906022030
-8000,60,200906022045
-8000,60,200906022100
-8000,44,200906022115
-8000,44,200906022130
