Date,Federalsburg,Georgetown,Easton,Ocean City,Dover,Salisbury
5/28/20,,,,,,
12p,76,74,76,68,73,74
12p-v,76,77,81,68,77,78
2p,79,77,79,69,76,76
2p-v,80,82,82,68,79,81
4p,80,79,80,69,77,78
4p-v,82,82,81,70,80,81
5/29/20,,,,,,
10a,75,76,75,69,75,75
10a-v,78,80,79,69,79,80
12p,79,79,79,71,78,79
12p-v,80,84,81,71,83,84
2p,81,81,81,72,80,80
2p-v,83,86,84,73,82,84
4p,82,82,82,72,82,81
4p-v,83,80,82,73,85,84
6/01/20,,,,,,
10a,62,63,63,63,62,63
10a-v,61,64,63,62,62,65
12p,66,67,67,65,65,67
12p-v,65,67,66,65,66,67
2p,69,70,69,66,68,70
2p-v,69,70,70,62,68,70
4p,71,71,71,66,70,71
4p-v,70,71,72,64,71,72


