U.S. Temperature (Annual Mean)
Year,No_Smoothing,Lowess(5)
1880,-0.43,-0.17
1881,0.23,-0.21
1882,0.01,-0.25
1883,-0.60,-0.26
1884,-0.61,-0.29
1885,-0.34,-0.30
1886,-0.20,-0.24
1887,-0.07,-0.14
1888,-0.23,-0.07
1889,0.32,-0.07
1890,0.23,-0.10
1891,-0.18,-0.15
1892,-0.44,-0.21
1893,-0.67,-0.26
1894,0.10,-0.29
1895,-0.71,-0.27
1896,0.11,-0.25
1897,-0.18,-0.20
1898,-0.26,-0.16
1899,-0.47,-0.13
1900,0.47,-0.16
1901,-0.03,-0.20
1902,-0.13,-0.23
1903,-0.64,-0.27
1904,-0.44,-0.30
1905,-0.48,-0.30
1906,-0.06,-0.26
1907,-0.26,-0.17
1908,0.09,-0.09
1909,-0.27,-0.07
1910,0.28,-0.08
1911,0.09,-0.09
1912,-0.88,-0.11
1913,-0.14,-0.17
1914,0.00,-0.26
1915,-0.20,-0.30
1916,-0.56,-0.30
1917,-1.03,-0.32
1918,-0.02,-0.33
1919,-0.17,-0.27
1920,-0.46,-0.20
1921,1.05,-0.17
1922,0.10,-0.14
1923,-0.12,-0.09
1924,-0.70,-0.03
1925,0.34,-0.02
1926,0.01,-0.02
1927,0.13,-0.00
1928,0.01,0.04
1929,-0.56,0.08
1930,0.07,0.14
1931,0.95,0.22
1932,-0.04,0.29
1933,0.60,0.32
1934,1.15,0.30
1935,0.00,0.28
1936,0.13,0.30
1937,-0.16,0.29
1938,0.72,0.29
1939,0.76,0.30
1940,0.00,0.30
1941,0.48,0.26
1942,0.02,0.18
1943,0.09,0.13
1944,0.02,0.12
1945,-0.07,0.09
1946,0.59,0.08
1947,0.04,0.06
1948,-0.11,0.02
1949,0.15,-0.00
1950,-0.26,0.04
1951,-0.38,0.13
1952,0.26,0.19
1953,0.84,0.23
1954,0.78,0.28
1955,-0.08,0.30
1956,0.25,0.24
1957,0.13,0.15
1958,0.06,0.08
1959,0.15,0.05
1960,-0.22,0.03
1961,0.02,0.01
1962,0.00,-0.01
1963,0.19,-0.03
1964,-0.10,-0.05
1965,-0.11,-0.08
1966,-0.21,-0.13
1967,-0.08,-0.16
1968,-0.28,-0.18
1969,-0.21,-0.18
1970,-0.15,-0.15
1971,-0.12,-0.11
1972,-0.30,-0.07
1973,0.24,-0.06
1974,0.19,-0.04
1975,-0.19,-0.05
1976,-0.24,-0.09
1977,0.35,-0.12
1978,-0.47,-0.09
1979,-0.54,-0.07
1980,0.24,-0.06
1981,0.65,-0.05
1982,-0.31,-0.00
1983,0.00,0.05
1984,0.04,0.12
1985,-0.34,0.20
1986,0.74,0.28
1987,0.78,0.37
1988,0.36,0.46
1989,-0.08,0.49
1990,0.86,0.44
1991,0.67,0.40
1992,0.34,0.39
1993,-0.36,0.35
1994,0.48,0.28
1995,0.37,0.29
1996,-0.07,0.40
1997,0.14,0.52
1998,1.27,0.61
1999,1.04,0.70
2000,0.69,0.79
2001,0.94,0.81
2002,0.69,0.78
2003,0.68,0.79
2004,0.62,0.82
2005,0.92,0.79
2006,1.25,0.73
2007,0.92,0.69
2008,0.18,0.64
2009,0.23,0.57
2010,0.57,0.50
2011,0.68,0.49
2012,1.82,0.60
2013,0.27,0.76
2014,0.30,0.89
2015,1.35,1.01
2016,1.65,1.13
2017,1.43,1.26
2018,0.88,1.39
